sentence,category,probability
"The benefits of using rain gardens are many, including reduced stormwater runoff and improved water quality.
",Environment,0.76300048828125
"The benefits of yoga for physical and mental health are well established.
",Health,0.7156208157539368
"The importance of sustainable fashion activism in promoting sustainability cannot be overemphasized.
",Fashion,0.9755706787109375
"The benefits of a self-directed education are many, including improved self-discipline and responsibility skills.
",Education,0.8883661031723022
"The impact of fashion on cultural preservation is a topic of ongoing research.
",Fashion,0.8172070980072021
"The World Health Organization is urging countries to invest in vaccination programs.
",Health,0.9270274639129639
"The benefits of eating a low-glycemic diet are many, including improved blood sugar control and reduced inflammation.
",Health,0.7285965085029602
"The importance of reducing water consumption in promoting sustainability cannot be overstated.
",Environment,0.7889482975006104
"The impact of fashion on cultural diversity is a topic of ongoing concern.
",Fashion,0.8784682750701904
"The benefits of vertical farming are many, including improved water efficiency and reduced need for pesticides.
",Environment,0.701324462890625
"The wearable technology tracks sleep patterns and provides insights for better rest.
",Technology,0.9524650573730469
"The impact of educational attainment on civic engagement is a topic of ongoing research.
",Education,0.7719624042510986
"The celebrity couple's wedding was a star-studded affair.
",Entertainment,0.8236945271492004
"The best way to find the best local markets is to ask the locals or do your research ahead of time.
",Environment,0.7222791910171509
"The soccer midfielder delivered a precise pass to set up a scoring opportunity.
",Sports,0.9800970554351807
"The benefits of traveling by kayak are many, including exercise and connection with nature.
",Travel,0.8481046557426453
"The impact of microplastics on the environment is a topic of ongoing research.
",Environment,0.7623630166053772
"The mayor has been accused of engaging in nepotism.
",Politics,0.7494561672210693
"The Supreme Court has issued a landmark ruling on the issue.
",Environment,0.7156462669372559
"The sports camp offers activities for children of all skill levels.
",Sports,0.945168673992157
"The impact of the gig economy on travel is a topic of ongoing debate.
",Travel,0.9852746725082397
"The World Health Organization is urging countries to invest in maternal and child health services.
",Health,0.9221380949020386
"The benefits of a project-based learning education are many, including improved creativity and collaboration skills.
",Education,0.8318125009536743
"The benefits of using public transportation are many, including reduced greenhouse gas emissions and improved air quality.
",Environment,0.8539748787879944
"The benefits of a well-rounded education are many, including improved critical thinking and problem-solving skills.
",Education,0.8483453989028931
"The tech industry is constantly evolving with new innovations and discoveries.
",Technology,0.9769028425216675
"The prime minister has announced a new plan to improve the transportation system.
",Travel,0.8730723261833191
"The drone surveillance system monitors activity in restricted airspace.
",Technology,0.8339549899101257
"The importance of reducing energy consumption in promoting sustainability cannot be overstated.
",Environment,0.7369489073753357
"The link between poor sleep and chronic diseases such as obesity and diabetes is well established.
",Health,0.7989272475242615
"The impact of soil erosion on the environment is a topic of ongoing research.
",Environment,0.8254402875900269
"The political landscape is changing rapidly.
",Politics,0.9685078263282776
"The American Lung Association recommends quitting smoking to improve lung health.
",Health,0.7510819435119629
"The sports nutritionist develops customized meal plans for athletes.
",Sports,0.9068066477775574
"The importance of diversity and inclusivity in fashion cannot be overemphasized.
",Fashion,0.9699084162712097
"The importance of scientific discovery in advancing human knowledge and understanding cannot be overstated.
",Science,0.9520378708839417
"The benefits of using traditional techniques in fashion are many, including improved cultural preservation and reduced environmental impact.
",Fashion,0.8800567984580994
"The importance of reducing food waste in promoting sustainability cannot be overstated.
",Food,0.9264174103736877
"The benefits of using sustainable landscaping are many, including reduced water consumption and improved habitat.
",Environment,0.7473913431167603
"The soccer coach emphasized teamwork and communication on the field.
",Sports,0.9894283413887024
"The impact of processed food on health is a topic of ongoing debate.
",Food,0.7013436555862427
"The comedian's Netflix special was nominated for a Grammy Award.
",Entertainment,0.9419497847557068
"The World Health Organization is urging countries to invest in health systems strengthening.
",Health,0.9462738037109375
"The impact of the student loan debt crisis on the economy is a topic of concern.
",Education,0.7443501353263855
"The football quarterback threw a Hail Mary pass to win the game.
",Sports,0.993659496307373
"The comedian's stand-up special tackles social and political issues with humor.
",Politics,0.7942854762077332
"The impact of the aging population on healthcare costs is a topic of concern.
",Health,0.9305758476257324
"The tech entrepreneur pitched their startup idea to investors at a venture capital firm.
",Technology,0.9672738313674927
"The impact of urbanization on biodiversity is a topic of ongoing scientific research.
",Science,0.8911097645759583
"The impact of genetically modified organisms (GMOs) on the environment is a topic of ongoing scientific research.
",Science,0.8564903736114502
"The benefits of using modular design in fashion are many, including reduced waste and improved customization.
",Fashion,0.9528470039367676
"The World Health Organization is urging countries to invest in health emergency preparedness.
",Health,0.9363154172897339
"The cryptocurrency exchange allows users to buy and sell digital assets.
",Technology,0.8484452366828918
"The boxer delivered a knockout punch in the final round of the match.
",Sports,0.9623990058898926
"The tennis player served an ace to win the match.
",Sports,0.9820861220359802
"The theater production received standing ovations at every performance.
",Entertainment,0.9681364297866821
"The impact of educational inequality on society is a topic of concern.
",Education,0.9541958570480347
"The benefits of eating fish are many, including heart health and brain function.
",Health,0.8454132676124573
"The benefits of quantum computing are many, including improved efficiency and potential for new scientific discoveries.
",Technology,0.7126212120056152
"The impact of educational attainment on energy conservation is a topic of ongoing research.
",Education,0.7782993316650391
"The importance of character education in education cannot be overstated.
",Education,0.8126265406608582
"The sports stadium was filled to capacity for the championship match.
",Sports,0.9814852476119995
"The benefits of eating a gluten-free diet are well established for those with celiac disease.
",Health,0.7833884954452515
"The benefits of using innovative materials in fashion are many, including improved performance and reduced environmental impact.
",Fashion,0.9184154272079468
"The importance of sustainable fashion design in promoting sustainability cannot be overemphasized.
",Fashion,0.9687038660049438
"The benefits of a healthy lifestyle for reducing the risk of chronic diseases are well established.
",Health,0.8750537037849426
"The benefits of traveling by horse are many, including adventure and connection with nature.
",Travel,0.8890823721885681
"The impact of ocean currents on climate is a topic of ongoing scientific research.
",Science,0.9393905401229858
"The benefits of traveling by car are many, including convenience and flexibility.
",Travel,0.8705551028251648
"The Supreme Court has issued a ruling on the controversial issue.
",Environment,0.735248863697052
"The impact of educational policy on student outcomes is a topic of concern.
",Education,0.9627901911735535
"The benefits of using upcycled materials in fashion are many, including reduced waste and improved creativity.
",Fashion,0.9170992970466614
"The impact of educational attainment on income is a topic of concern.
",Education,0.9135631322860718
"The opposition party is calling for a general election.
",Politics,0.962272047996521
"The opposition party is calling for a national day of action.
",Politics,0.8317245841026306
"The benefits of eating a Mediterranean-style diet are many, including improved heart health and reduced inflammation.
",Health,0.7951658964157104
"The importance of ethical sourcing in fashion cannot be overemphasized.
",Fashion,0.9185512065887451
"The benefits of eating a low-sodium diet are well established.
",Health,0.8431310653686523
"The benefits of using rain barrels are many, including reduced water consumption and improved stormwater management.
",Environment,0.7809460163116455
"The talk show host interviewed political figures and celebrities alike.
",Politics,0.8188195824623108
"The benefits of space tourism are many, including potential for scientific research and promoting public interest in space exploration.
",Travel,0.8324914574623108
"The American Heart Association recommends a diet low in saturated fats to reduce the risk of heart disease.
",Health,0.7120277881622314
"The importance of interdisciplinary collaboration in scientific research cannot be overstated.
",Science,0.7978136539459229
"The tennis tournament attracted top-ranked players from around the world.
",Sports,0.8061249256134033
"The benefits of a project-based learning education are many, including improved creativity and collaboration skills.
",Education,0.8318125009536743
"The benefits of traveling by subway are many, including convenience and affordability.
",Travel,0.898593008518219
"The Centers for Disease Control and Prevention (CDC) is urging people to get vaccinated against the flu.
",Health,0.7762656211853027
"The benefits of using closed-loop systems in fashion are many, including reduced waste and improved sustainability.
",Fashion,0.9571415781974792
"The importance of sustainable fashion education in fashion cannot be overemphasized.
",Fashion,0.9293145537376404
"The benefits of traveling by hot air balloon are many, including scenic views and adventure.
",Travel,0.8206870555877686
"The mayor announced a new initiative to improve public transportation.
",Travel,0.7313746809959412
"The sports science lab conducts research to improve athletic performance.
",Sports,0.924242377281189
"The impact of fashion on climate change is a topic of ongoing research.
",Fashion,0.8288646340370178
"The importance of entrepreneurship education in education cannot be overemphasized.
",Education,0.91478031873703
"The sports journalist interviewed the coach about the team's strategy for the upcoming season.
",Sports,0.983181893825531
"The soccer tournament featured teams from different countries competing for the title.
",Sports,0.9882276058197021
"The importance of health education in education cannot be overemphasized.
",Health,0.9715747237205505
"The sports medicine physician specializes in treating sports-related injuries.
",Sports,0.9527977108955383
"The impact of the gig economy on travel planning is a topic of ongoing debate.
",Travel,0.969234049320221
"The importance of protecting coral reefs in maintaining marine biodiversity cannot be overemphasized.
",Environment,0.7395681142807007
"The pop star's stadium tour draws crowds of adoring fans from around the world.
",Entertainment,0.879956066608429
"The importance of scientific innovation in addressing global challenges cannot be overstated.
",Science,0.9055782556533813
"The benefits of eating a plant-based diet for athletes are many, including improved recovery and reduced inflammation.
",Sports,0.8349984288215637
"The American Lung Association recommends avoiding exposure to outdoor air pollution.
",Environment,0.735998272895813
"The importance of scientific rigor in ensuring the validity and reliability of research cannot be overemphasized.
",Science,0.9275420308113098
"The Congress is debating a new bill to reform the social security system.
",Politics,0.8799048662185669
"The impact of desertification on ecosystems is a topic of ongoing scientific research.
",Science,0.9292062520980835
"The benefits of wind power are many, including reduced greenhouse gas emissions and improved energy security.
",Environment,0.7624675631523132
"The coach implemented a new strategy that led to a series of victories.
",Sports,0.8962699770927429
"The benefits of using green infrastructure are many, including reduced urban heat island effect and improved air quality.
",Environment,0.7778480052947998
"The benefits of eating a low-sugar diet are well established.
",Health,0.8248763680458069
"The importance of environmental protection cannot be overstated.
",Environment,0.9281796216964722
"The sports equipment store offers a wide range of gear for athletes.
",Sports,0.9443724155426025
"The importance of diversity in education cannot be overstated.
",Education,0.958105206489563
"The impact of food deserts on food security is a topic of concern.
",Food,0.8921107053756714
"The impact of the sharing economy on travel is a topic of ongoing debate.
",Travel,0.9806955456733704
"The link between sedentary behavior and chronic diseases such as obesity and diabetes is well established.
",Health,0.7520110607147217
"The space exploration mission uncovered evidence of water on Mars.
",Science,0.9235075116157532
"The impact of food labeling on consumer behavior is a topic of ongoing debate.
",Food,0.8839825987815857
"The prime minister has announced a new economic stimulus package.
",Politics,0.845633327960968
"The two parties are at odds over the proposed tax plan.
",Politics,0.844133734703064
"The best way to find the best local restaurants is to ask the locals.
",Food,0.8170871138572693
"The importance of citizen science in promoting public engagement and data collection cannot be overstated.
",Science,0.8126908540725708
"The benefits of eating nuts and seeds are many, including heart health and weight management.
",Health,0.8525248169898987
"The impact of the aging population on accessible travel is a topic of concern.
",Travel,0.9053612947463989
"The sports league introduced new rules to ensure fair competition.
",Sports,0.981559693813324
"The quantum physicist conducted experiments to study the behavior of subatomic particles.
",Science,0.9096155762672424
"The importance of renewable energy in reducing greenhouse gas emissions cannot be overemphasized.
",Environment,0.7134976983070374
"The impact of educational attainment on social cohesion is a topic of concern.
",Education,0.8997231125831604
"Artificial intelligence is revolutionizing various industries.
",Technology,0.7333542704582214
"The link between physical inactivity and chronic diseases such as obesity and diabetes is well established.
",Health,0.7376126050949097
"The importance of reducing e-waste in promoting sustainability cannot be overstated.
",Environment,0.7454119920730591
"The importance of cultural competence education in education cannot be overemphasized.
",Education,0.8054087162017822
"The impact of educational attainment on mental health is a topic of concern.
",Education,0.8349997997283936
"The benefits of eating a low-oxalate diet are many, including reduced risk of kidney stones and improved gut health.
",Health,0.7978809475898743
"The tech accelerator program provides resources and support to help startups succeed.
",Technology,0.8990568518638611
"The link between stress and chronic diseases such as heart disease and depression is well established.
",Health,0.7474028468132019
"The governor has announced a plan to address the healthcare crisis.
",Health,0.9761332869529724
"The benefits of using permeable pavement are many, including reduced stormwater runoff and improved water quality.
",Environment,0.7616398334503174
"The World Health Organization is urging countries to invest in universal health coverage.
",Health,0.9430206418037415
"The tech conference attracts industry leaders and innovators from around the world.
",Technology,0.9473767876625061
"The Supreme Court has issued a ruling on the controversial issue.
",Environment,0.735248863697052
"The benefits of eating a Mediterranean diet are well established.
",Health,0.8467754125595093
"The soccer referee enforced the rules with fairness and impartiality.
",Sports,0.9859728217124939
"The importance of science education in promoting critical thinking and problem-solving skills cannot be overemphasized.
",Science,0.9522671103477478
"The snowboarder executed a daring trick in the halfpipe.
",Sports,0.9768069982528687
"The importance of protecting pollinators in maintaining ecosystem health cannot be overemphasized.
",Health,0.7079713940620422
"The benefits of renewable energy are many, including reduced greenhouse gas emissions and improved sustainability.
",Environment,0.7102915644645691
"The impact of the aging population on travel is a topic of concern.
",Travel,0.9516919255256653
"The opposition party has put forward a new candidate for the upcoming election.
",Politics,0.9659767746925354
"The impact of school funding on educational outcomes is a topic of concern.
",Education,0.9690698385238647
"The musical soundtrack became a bestseller, topping the charts for weeks.
",Entertainment,0.8530243039131165
"The impact of fashion on cultural identity is a topic of ongoing research.
",Fashion,0.8405901193618774
"The benefits of a healthy diet for skin health are becoming increasingly clear.
",Health,0.705419659614563
"The TSA has announced new security measures for air travel.
",Travel,0.8918662667274475
"The importance of science communication in promoting public engagement and understanding cannot be overstated.
",Science,0.922709047794342
"The impact of fashion on animal welfare is a topic of ongoing concern.
",Fashion,0.7481149435043335
"The comedian's stand-up special had the audience laughing non-stop.
",Entertainment,0.9791166186332703
"The impact of noise pollution on the environment is a topic of ongoing scientific research.
",Science,0.928198516368866
"The impact of soil degradation on agricultural productivity is a topic of ongoing scientific research.
",Science,0.9133653044700623
"The impact of deforestation on climate change is a topic of ongoing scientific research.
",Science,0.9184772968292236
"The impact of fashion on cultural appropriation is a topic of ongoing research.
",Fashion,0.7518428564071655
"The importance of health education in education cannot be overemphasized.
",Health,0.9715747237205505
"The benefits of investing in master limited partnerships (MLPs) for income are well established.
",Finance,0.7287853956222534
"The benefits of eating fermented foods are many, including gut health and immunity.
",Health,0.7630038261413574
"The tech company unveiled a prototype for a flying car.
",Technology,0.9817386269569397
"The benefits of eating a paleo diet are many, including reduced inflammation and improved blood sugar control.
",Health,0.8312351703643799
"The importance of sustainable fashion policies in promoting sustainability cannot be overstated.
",Fashion,0.970838725566864
"The impact of educational attainment on family stability is a topic of ongoing research.
",Education,0.7949351668357849
"The sports fanatics painted their bodies with team colors and slogans.
",Sports,0.9563940167427063
"The impact of food additives on gut health is a topic of ongoing debate.
",Health,0.7488057613372803
"The importance of food sustainability cannot be overstated.
",Food,0.9701709151268005
"The sports memorabilia shop sells autographed jerseys and collectibles.
",Sports,0.9192073345184326
"The prime minister has announced a new plan to improve the healthcare system.
",Health,0.9657796621322632
"The importance of sustainable fashion leadership in promoting sustainability cannot be overstated.
",Fashion,0.9795951843261719
"The indie band released a critically acclaimed album to widespread acclaim.
",Environment,0.8610431551933289
"The importance of scientific skepticism in promoting critical thinking and avoiding misinformation cannot be overemphasized.
",Science,0.8226142525672913
"The importance of reducing chemical pollution in promoting sustainability cannot be overstated.
",Environment,0.7701209783554077
"The motorsports enthusiast restored a classic car to its former glory.
",Sports,0.8159923553466797
"The drone pilot navigates the aircraft through challenging terrain to capture aerial footage.
",Technology,0.8550970554351807
"The importance of food security cannot be overemphasized.
",Food,0.957387387752533
"The impact of the student loan debt crisis on travel is a topic of concern.
",Travel,0.9333075881004333
"The benefits of using sustainable packaging in fashion are many, including reduced waste and improved sustainability.
",Fashion,0.9429409503936768
"The impact of fashion on biodiversity is a topic of ongoing concern.
",Fashion,0.9061763882637024
"The benefits of using greywater systems are many, including reduced water consumption and improved sustainability.
",Environment,0.7758703827857971
"The importance of media literacy in education cannot be overemphasized.
",Education,0.7625791430473328
"The benefits of personalized medicine are many, including improved treatment outcomes and reduced side effects.
",Health,0.76678866147995
"The benefits of traveling by boat are many, including relaxation and adventure.
",Travel,0.8580338954925537
"The snowboarder performed a gravity-defying jump off the halfpipe.
",Sports,0.9689094424247742
"The benefits of traveling by RV are many, including flexibility and cost savings.
",Travel,0.8307575583457947
"The golf tournament was won by a rookie player in a stunning upset.
",Sports,0.9878110885620117
"Traveling can be a great way to experience new cultures and broaden your horizons.
",Travel,0.9769408702850342
"The importance of education cannot be overstated.
",Education,0.977874755859375
"The blockchain technology ensures the security and transparency of digital transactions.
",Technology,0.9630900025367737
"The computer scientist published a paper on machine learning algorithms.
",Science,0.8239890336990356
"The impact of food deserts on social justice is a topic of concern.
",Food,0.9291796088218689
"The computer network is protected by state-of-the-art cybersecurity measures.
",Technology,0.8332781791687012
"The sharing economy is disrupting traditional industries such as hospitality and transportation.
",Travel,0.7871189713478088
"The space telescope captured images of distant galaxies billions of light-years away.
",Science,0.8718219995498657
"The track athlete trained diligently to improve speed and endurance.
",Sports,0.9954065680503845
"The impact of fashion on cultural exchange is a topic of ongoing concern.
",Fashion,0.9046092629432678
"The benefits of using rental and resale platforms in fashion are many, including reduced waste and improved affordability.
",Fashion,0.9299156665802002
"The gymnast executed a flawless routine to clinch the gold medal.
",Sports,0.978295087814331
"The impact of fracking on the environment is a topic of ongoing concern.
",Environment,0.9130176901817322
"The impact of educational attainment on quality of life is a topic of ongoing research.
",Education,0.8668355941772461
"The internet of things connects everyday objects to the internet for increased functionality.
",Technology,0.8479000926017761
"The benefits of a liberal arts education are many, including improved communication and creativity skills.
",Education,0.8535779118537903
"The software update fixed bugs and added new features to the application.
",Environment,0.7632071375846863
"The benefits of eating a high-fat diet are many, including improved satiety and reduced inflammation.
",Health,0.754092276096344
"The benefits of using sustainable transportation in fashion are many, including reduced carbon footprint and improved sustainability.
",Fashion,0.9303390383720398
"The benefits of eating a high-fiber diet are many, including digestive health and weight management.
",Health,0.7981178760528564
"The benefits of eating lean protein are many, including muscle building and weight management.
",Health,0.7067797183990479
"The benefits of regular exercise for mental health are well established.
",Health,0.7787728905677795
"The benefits of using sustainable materials in fashion are many, including reduced resource depletion and improved sustainability.
",Fashion,0.9236952066421509
"The importance of scientific ethics in ensuring the responsible conduct of research cannot be overemphasized.
",Science,0.9046498537063599
"The importance of protecting coastal ecosystems in maintaining biodiversity cannot be overemphasized.
",Environment,0.7563990354537964
"The importance of reducing food miles in promoting sustainability cannot be overstated.
",Food,0.8610493540763855
"The hockey player scored a hat trick in the first period.
",Sports,0.985660970211029
"The singer's music video featured elaborate choreography and stunning visuals.
",Entertainment,0.7303961515426636
"The president has announced a new plan to address climate change.
",Environment,0.7433215379714966
"The two parties are at odds over the proposed budget cuts.
",Politics,0.755635678768158
"The World Health Organization is urging countries to invest in primary healthcare services.
",Health,0.926141083240509
"The impact of light pollution on the environment is a topic of ongoing research.
",Environment,0.7785529494285583
"The cycling race traversed challenging terrain through picturesque landscapes.
",Sports,0.9461648464202881
"The nanotechnology research has potential applications in electronics and materials science.
",Technology,0.7919713854789734
"The importance of artisanal craftsmanship in fashion cannot be overemphasized.
",Fashion,0.9522978663444519
